# x0 x1 x2 x3 y
-1.771300 -10.766500 10.218400 -1.004300 1.000000
5.132100 -0.031048 0.326160 1.115100 -1.000000
-2.014900 3.687400 -1.938500 -3.891800 1.000000
1.488400 3.627400 3.308000 0.489210 -1.000000
5.286800 3.257000 -1.372100 1.166800 -1.000000
1.947600 -4.773800 8.527000 -1.866800 -1.000000
-1.755900 11.945900 3.094600 -4.897800 -1.000000
3.931000 1.854100 -0.023425 1.231400 -1.000000
-4.633800 -12.750900 16.716600 -3.216800 1.000000
-2.534600 -0.773920 3.360200 0.001710 1.000000
0.147830 7.946000 1.074200 -3.340900 -1.000000
5.937400 6.166400 -2.590500 -0.365530 -1.000000
-0.895420 2.027900 -2.365200 -1.274600 1.000000
4.985200 8.351600 -2.542500 -1.282300 -1.000000
3.515600 10.189100 -4.275900 -4.978000 -1.000000
3.549900 8.616500 -3.279400 -1.200900 -1.000000
-3.724400 1.903700 -0.035421 -2.509500 1.000000
0.238740 2.087900 -3.352200 -0.665530 1.000000
4.363400 0.463510 1.428100 2.020200 -1.000000
3.883200 6.402300 -2.432000 -0.983630 -1.000000
-4.021800 -8.304000 12.555000 -1.509900 1.000000
3.188700 -3.414300 2.774200 -0.202600 -1.000000
4.845100 8.111600 -2.951200 -1.472400 -1.000000
-0.530720 -0.097265 -0.217930 1.042600 1.000000
-2.647900 10.137400 -1.331000 -5.470700 -1.000000
-0.102340 1.818900 -2.216900 -0.567250 1.000000
3.359000 9.802200 -3.820900 -3.713300 -1.000000
-2.982100 4.198600 -0.589800 -3.964200 1.000000
3.067200 -4.411700 3.823800 -0.816820 -1.000000
1.213800 8.798600 -2.167200 -0.741820 -1.000000
-4.733100 -6.178900 11.388000 -1.074100 1.000000
0.929700 -3.797100 4.642900 -0.295700 -1.000000
-1.562100 -2.212100 4.259100 0.279720 1.000000
-1.624400 -6.344400 4.657500 0.169810 1.000000
-2.776900 -5.696700 5.917900 0.376710 1.000000
1.590200 2.294800 3.240300 0.184040 -1.000000
2.209100 7.455600 -1.328400 -3.302100 -1.000000
-3.136600 0.422120 2.622500 -0.064238 1.000000
-0.360380 4.115800 3.114300 -0.371990 -1.000000
-2.967200 -13.286900 13.472700 -2.627100 1.000000
0.519500 -3.263300 3.089500 -0.984900 -1.000000
-3.895300 4.039200 -0.301900 -2.183600 1.000000
3.094800 8.732400 -2.900700 -0.966820 -1.000000
-2.698900 12.198400 0.676610 -8.548200 -1.000000
-1.844800 1.254000 0.272180 -1.072800 1.000000
-4.244000 -13.063400 17.111600 -2.801700 1.000000
4.926400 5.496000 -2.477400 -0.506480 -1.000000
3.106000 9.541400 -4.253600 -4.003000 -1.000000
-1.821900 -6.882400 5.468100 0.057313 1.000000
2.823700 2.859700 0.196780 0.571960 -1.000000
1.570100 7.912900 0.290180 -2.195300 -1.000000
-6.651000 6.793400 0.686040 -7.588700 1.000000
-1.616200 0.809080 8.162800 0.608170 -1.000000
-3.408300 4.858700 -0.768880 -4.866800 1.000000
-1.236900 -1.690600 2.518000 0.516360 1.000000
4.029600 2.675600 0.806850 0.716790 -1.000000
-1.341400 -2.077600 2.809300 0.606880 1.000000
-4.553100 -12.585400 15.441700 -1.498300 1.000000
-1.917700 11.689400 2.545400 -3.276300 -1.000000
-2.445800 1.628500 -0.885410 -1.480200 1.000000
0.259430 5.009700 -5.039400 -6.386200 1.000000
-1.522200 10.840900 2.782700 -4.097400 -1.000000
1.742000 -4.809000 8.214200 -2.065900 -1.000000
4.348300 11.107900 -4.085700 -4.253900 -1.000000
1.731700 -0.347650 4.190500 -0.991380 -1.000000
-2.362900 -0.105540 1.933600 1.135800 1.000000
-3.491700 -12.173600 14.368900 -0.616390 1.000000
-2.258000 -9.326300 9.372700 -0.859490 1.000000
0.982960 3.422600 -3.969200 -1.711600 1.000000
2.581700 9.754600 -3.174900 -2.995700 -1.000000
1.437800 0.668370 -2.026700 1.027100 1.000000
4.368400 9.671800 -3.960600 -3.162500 -1.000000
-3.535900 0.304170 0.656900 -0.295700 1.000000
-2.447300 12.624700 0.735730 -7.661200 -1.000000
-0.786900 9.566300 -3.786700 -7.503400 -1.000000
-1.242400 -1.717500 -0.525530 -0.210360 1.000000
4.826500 0.802870 1.637100 1.187500 -1.000000
2.093000 8.306100 0.022844 -3.272400 -1.000000
4.247500 1.481600 -0.483550 0.953430 -1.000000
3.773100 7.207300 -1.681400 -0.947420 -1.000000
-0.568770 1.417400 -1.425200 -1.124600 1.000000
-2.895700 -12.020500 11.914900 -2.755200 1.000000
3.145200 5.825000 -0.514390 -1.494400 -1.000000
3.776700 9.779400 -3.907500 -3.532300 -1.000000
-1.279200 2.137600 -0.475840 -1.397400 1.000000
-1.102200 -5.839500 4.564100 0.687050 1.000000
4.010200 10.656800 -4.138800 -5.064600 -1.000000
4.004700 0.459370 1.362100 1.618100 -1.000000
4.616000 10.178800 -4.218500 -4.424500 -1.000000
2.949900 2.249300 1.345800 -0.037083 -1.000000
4.173600 3.333600 -1.424400 0.604290 -1.000000
-2.389800 -0.784270 3.014100 0.762050 1.000000
-1.664100 -1.367800 1.997000 0.522830 1.000000
0.300810 0.173810 -1.754200 0.489210 1.000000
-2.455400 -9.040700 8.862000 -0.869830 1.000000
0.936110 8.641300 -1.635100 -1.304300 -1.000000
3.783100 10.052600 -3.886900 -3.736600 -1.000000
4.032900 0.231750 0.890820 1.182300 -1.000000
-2.208300 -9.106900 8.999100 -0.284060 1.000000
-3.312500 0.101390 0.553230 -0.295700 1.000000
3.841700 10.021500 -4.269900 -4.915900 -1.000000
-3.506000 -12.566700 15.160600 -0.752160 1.000000
2.641500 7.586000 -0.285620 -1.667700 -1.000000
0.329240 -4.455200 4.571800 -0.988800 -1.000000
3.000900 5.812600 -2.230600 -0.665530 -1.000000
-1.083300 -0.312470 1.281500 0.412910 1.000000
2.059700 -0.993260 5.211900 -0.293120 -1.000000
-2.949800 -8.273000 10.264600 1.162900 1.000000
-2.329900 -9.953200 8.475600 -1.873300 1.000000
-3.285400 4.037200 -0.453560 -1.822800 1.000000
1.684900 8.748900 -1.264100 -1.385800 -1.000000
-1.942300 0.376600 -1.289800 -0.824580 1.000000
3.824400 -3.108100 2.453700 0.520240 -1.000000
1.450700 8.790300 -2.232400 -0.652590 -1.000000
-0.757930 2.534900 -3.046400 -1.262900 1.000000
1.356600 4.235800 2.134100 0.321100 -1.000000
0.832920 7.540400 0.650050 -0.925440 -1.000000
4.021500 -2.191400 2.464800 1.140900 -1.000000
-1.239000 -6.541000 4.815100 -0.033204 1.000000
-3.941100 -12.879200 13.059700 -3.312500 1.000000
5.069100 0.213130 0.202780 1.209500 -1.000000
5.242300 11.027200 -4.353000 -4.101300 -1.000000
-2.006600 -6.719000 9.016200 0.099985 1.000000
-2.686400 -0.097265 0.616630 0.061192 1.000000
0.376370 -0.823580 0.785430 0.745240 1.000000
-2.482400 -7.304600 6.839000 -0.590530 1.000000
