genotype_as_str,fitness,depth,number_of_the_generation,time_since_the_start_of_the_evolution,seed
np.tanh(np.sin(np.log(1 + np.abs(np.tanh((7/(np.log(1 + np.abs(np.sqrt(np.abs(np.sqrt(np.abs((x1 - ((6 + np.tanh(8)) + (np.sqrt(np.abs(9))/x2))))))))) * x3))))))),0.039889559476318774,28,1,0.5911140441894531,0
np.tanh(np.sin(np.log(1 + np.abs(np.tanh((7/(np.log(1 + np.abs(np.sqrt(np.abs(np.sqrt(np.abs((x1 - ((6 + np.tanh(8)) + (np.sqrt(np.abs(9))/(5 * x4)))))))))) * x3))))))),0.04006949711206333,28,1,0.5911140441894531,0
np.exp(np.tanh((np.log(1 + np.abs((np.tanh(np.sqrt(np.abs((np.exp((np.exp((np.log(1 + np.abs(x0)) + (1 - 5)))/np.sin(np.tanh(0)))) + np.log(1 + np.abs(np.exp(x0))))))) * (0 * (np.sin(np.exp(np.tanh(4))) + (x2 + (9 - (7 * (np.log(1 + np.abs(1)) * (np.sqrt(np.abs(3))/5)))))))))) - np.log(1 + np.abs(1))))),0.04109968985444649,28,1,0.5911140441894531,0
np.exp(np.tanh((np.log(1 + np.abs((np.tanh(np.sqrt(np.abs((np.exp((np.exp((np.log(1 + np.abs(x0)) + (1 - 5)))/np.sin(np.tanh(0)))) + np.log(1 + np.abs(np.exp(x0))))))) * (0 * (np.sin(np.exp(np.tanh(4))) + (x2 + (9 - (7 * (np.log(1 + np.abs(1)) * (np.sqrt(np.abs(3))/5)))))))))) - np.log(1 + np.abs(1))))),0.04109968985444649,28,1,0.5911140441894531,0
np.sqrt(np.abs(np.sqrt(np.abs((np.sin(np.sqrt(np.abs((np.tanh((np.exp(np.sqrt(np.abs(np.sin((np.tanh(x1)/np.sqrt(np.abs(x0))))))) * (np.sqrt(np.abs((2/4))) - np.log(1 + np.abs(np.sqrt(np.abs((1/np.exp(0))))))))) + np.exp(0))))) * (np.log(1 + np.abs(np.exp(np.tanh(np.tanh((np.tanh((x0 + x0)) + ((x2 * 3) + (x3/8))))))))/9)))))),0.04133687810593953,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.tanh(np.tanh((x4/np.log(1 + np.abs(np.tanh(np.exp((np.sin((x0 * (8/(np.log(1 + np.abs(x2)) - np.tanh(x1))))) * (((np.tanh(0) - np.sin(np.exp(8))) * 6) - x3))))))))))),0.04140237669627442,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.tanh(np.tanh((x4/np.log(1 + np.abs(np.tanh(np.exp((np.sin((x0 * (8/(np.log(1 + np.abs(x2)) - np.tanh(x1))))) * (((np.tanh(0) - np.sin(np.exp(8))) * 6) - x3))))))))))),0.04140237669627442,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.tanh(np.tanh((x4/np.log(1 + np.abs(np.tanh(np.exp((np.sin((x0 * (8/(np.log(1 + np.abs(x2)) - np.tanh(x1))))) * (((np.tanh(0) - np.sin(np.exp(8))) * 6) - x3))))))))))),0.04140237669627442,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.tanh(np.tanh((x4/np.log(1 + np.abs(np.tanh(np.exp((np.sin((x0 * (8/(np.log(1 + np.abs(x2)) - np.tanh(x1))))) * (((np.tanh(0) - np.sin(np.exp(8))) * 6) - x3))))))))))),0.04140237669627442,28,1,0.5911140441894531,0
(np.exp((np.exp((np.tanh(np.log(1 + np.abs(((np.sin((np.sqrt(np.abs((x1 + x2))) * (np.exp(3) * np.sin(x0))))/np.log(1 + np.abs(np.sin((np.tanh(0) + (4 - x4)))))) * np.log(1 + np.abs(((2/7)/np.sin(np.exp((9/4)))))))))) - (np.exp(9)/np.tanh(x4)))) * np.exp(np.tanh(np.log(1 + np.abs(np.exp(np.sin(((np.log(1 + np.abs(np.sqrt(np.abs(8)))) - np.tanh(np.exp((2 - 9)))) + 8))))))))) * np.exp((np.log(1 + np.abs((((4 + np.sin(((3/(np.exp(np.exp(x0)) + np.tanh(np.sin(x0)))) - np.log(1 + np.abs(0))))) * np.sqrt(np.abs((6 + (1/(np.sin(6) + ((np.sqrt(np.abs(1)) - (x3 + x3))/((6 - x3)/np.tanh(2)))))))))/np.tanh(((8 + np.tanh(np.sin((np.sqrt(np.abs((x1 + 7))) * (np.tanh(5)/np.sqrt(np.abs(3)))))))/np.exp(np.exp(9))))))) * np.sin(np.tanh((((np.sin(np.tanh(x2)) - (((np.sin(np.sqrt(np.abs(x4))) + np.log(1 + np.abs((7 * x1)))) + ((np.sin(x0) + (5/x0)) - (0 * np.tanh(x4)))) + 8)) + (((np.sin(np.sqrt(np.abs(x0))) * np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(2)))))) * np.sin((np.exp(x0) + np.exp(np.tanh(x4))))) * np.log(1 + np.abs((np.tanh(np.sin((x2/5))) - np.log(1 + np.abs(x0))))))) * np.log(1 + np.abs(np.sin(np.sqrt(np.abs(np.tanh((np.sin(np.tanh(7)) - np.log(1 + np.abs(np.exp(x1)))))))))))))))),0.041550317118272284,28,1,0.5911140441894531,0
(np.exp((np.exp((np.tanh(np.log(1 + np.abs(((np.sin((np.sqrt(np.abs((x1 + x2))) * (np.exp(3) * np.sin(x0))))/np.log(1 + np.abs(np.sin((np.tanh(0) + (4 - x4)))))) * np.log(1 + np.abs(((2/7)/np.sin(np.exp((9/4)))))))))) - (np.exp(9)/np.tanh(x4)))) * np.exp(np.tanh(np.log(1 + np.abs(np.exp(np.sin(((np.log(1 + np.abs(np.sqrt(np.abs(8)))) - np.tanh(np.exp((2 - 9)))) + 8))))))))) * np.exp((np.log(1 + np.abs((((4 + np.sin(((3/(np.exp(np.exp(x0)) + np.tanh(np.sin(x0)))) - np.log(1 + np.abs(0))))) * np.sqrt(np.abs((6 + (1/(np.sin(6) + ((np.sqrt(np.abs(1)) - (x3 + x3))/((6 - x3)/np.tanh(2)))))))))/np.tanh(((8 + np.tanh(np.sin((np.sqrt(np.abs((x1 + 7))) * (np.tanh(5)/np.sqrt(np.abs(3)))))))/np.exp(np.exp(9))))))) * np.sin(np.tanh((((np.sin(np.tanh(x2)) - (((np.sin(np.sqrt(np.abs(x4))) + np.log(1 + np.abs((7 * x1)))) + ((np.sin(x0) + (5/x0)) - (0 * np.tanh(x4)))) + 8)) + (((np.sin(np.sqrt(np.abs(x0))) * np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(2)))))) * np.sin((np.exp(x0) + np.exp(np.tanh(x4))))) * np.log(1 + np.abs((np.tanh(np.sin((x2/5))) - np.log(1 + np.abs(x0))))))) * np.log(1 + np.abs(np.sin(np.sqrt(np.abs(np.tanh((np.sin(np.tanh(7)) - np.log(1 + np.abs(np.exp(x1)))))))))))))))),0.041550317118272284,28,1,0.5911140441894531,0
(np.exp((np.exp((np.tanh(np.log(1 + np.abs(((np.sin((np.sqrt(np.abs((x1 + x2))) * (np.exp(3) * np.sin(x0))))/np.log(1 + np.abs(np.sin((np.tanh(0) + (4 - x4)))))) * np.log(1 + np.abs(((2/7)/np.sin(np.exp((9/4)))))))))) - (np.exp(9)/np.tanh(x4)))) * np.exp(np.tanh(np.log(1 + np.abs(np.exp(np.sin(((np.log(1 + np.abs(np.sqrt(np.abs(8)))) - np.tanh(np.exp((2 - 9)))) + 8))))))))) * np.exp((np.log(1 + np.abs((((4 + np.sin(((3/(np.exp(np.exp(x0)) + np.tanh(np.sin(x0)))) - np.log(1 + np.abs(0))))) * np.sqrt(np.abs((6 + (1/(np.sin(6) + ((np.sqrt(np.abs(1)) - (x3 + x3))/((6 - x3)/np.tanh(2)))))))))/np.tanh(((8 + np.tanh(np.sin((np.sqrt(np.abs((x1 + 7))) * (np.tanh(5)/np.sqrt(np.abs(3)))))))/np.exp(np.exp(9))))))) * np.sin(np.tanh((((np.sin(np.tanh(x2)) - (((np.sin(np.sqrt(np.abs(x4))) + np.log(1 + np.abs((7 * x1)))) + ((np.sin(x0) + (5/x0)) - (0 * np.tanh(x4)))) + 8)) + (((np.sin(np.sqrt(np.abs(x0))) * np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(2)))))) * np.sin((np.exp(x0) + np.exp(np.tanh(x4))))) * np.log(1 + np.abs((np.tanh(np.sin((x2/5))) - np.log(1 + np.abs(x0))))))) * np.log(1 + np.abs(np.sin(np.sqrt(np.abs(np.tanh((np.sin(np.tanh(7)) - np.log(1 + np.abs(np.exp(x1)))))))))))))))),0.041550317118272284,28,1,0.5911140441894531,0
(np.exp((np.exp((np.tanh(np.log(1 + np.abs(((np.sin((np.sqrt(np.abs((x1 + x2))) * (np.exp(3) * np.sin(x0))))/np.log(1 + np.abs(np.sin((np.tanh(0) + (4 - x4)))))) * np.log(1 + np.abs(((2/7)/np.sin(np.exp((9/4)))))))))) - (np.exp(9)/np.tanh(x4)))) * np.exp(np.tanh(np.log(1 + np.abs(np.exp(np.sin(((np.log(1 + np.abs(np.sqrt(np.abs(8)))) - np.tanh(np.exp((2 - 9)))) + 8))))))))) * np.exp((np.log(1 + np.abs((((4 + np.sin(((3/(np.exp(np.exp(x0)) + np.tanh(np.sin(x0)))) - np.log(1 + np.abs(0))))) * np.sqrt(np.abs((6 + (1/(np.sin(6) + ((np.sqrt(np.abs(1)) - (x3 + x3))/((6 - x3)/np.tanh(2)))))))))/np.tanh(((8 + np.tanh(np.sin((np.sqrt(np.abs((x1 + 7))) * (np.tanh(5)/np.sqrt(np.abs(3)))))))/np.exp(np.exp(9))))))) * np.sin(np.tanh((((np.sin(np.tanh(x2)) - (((np.sin(np.sqrt(np.abs(x4))) + np.log(1 + np.abs((7 * x1)))) + ((np.sin(x0) + (5/x0)) - (0 * np.tanh(x4)))) + 8)) + (((np.sin(np.sqrt(np.abs(x0))) * np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(2)))))) * np.sin((np.exp(x0) + np.exp(np.tanh(x4))))) * np.log(1 + np.abs((np.tanh(np.sin((x2/5))) - np.log(1 + np.abs(x0))))))) * np.log(1 + np.abs(np.sin(np.sqrt(np.abs(np.tanh((np.sin(np.tanh(7)) - np.log(1 + np.abs(np.exp(x1)))))))))))))))),0.041550317118272284,28,1,0.5911140441894531,0
(np.exp((np.exp((np.tanh(np.log(1 + np.abs(((np.sin((np.sqrt(np.abs((x1 + x2))) * (np.exp(3) * np.sin(x0))))/np.log(1 + np.abs(np.sin((np.tanh(0) + (4 - x4)))))) * np.log(1 + np.abs(((2/7)/np.sin(np.exp((9/4)))))))))) - (np.exp(9)/np.tanh(x4)))) * np.exp(np.tanh(np.log(1 + np.abs(np.exp(np.sin(((np.log(1 + np.abs(np.sqrt(np.abs(8)))) - np.tanh(np.exp((2 - 9)))) + 8))))))))) * np.exp((np.log(1 + np.abs((((4 + np.sin(((3/(np.exp(np.exp(x0)) + np.tanh(np.sin(x0)))) - np.log(1 + np.abs(0))))) * np.sqrt(np.abs((6 + (1/(np.sin(6) + ((np.sqrt(np.abs(1)) - (x3 + x3))/((6 - x3)/np.tanh(2)))))))))/np.tanh(((8 + np.tanh(np.sin((np.sqrt(np.abs((x1 + 7))) * (np.tanh(5)/np.sqrt(np.abs(3)))))))/np.exp(np.exp(9))))))) * np.sin(np.tanh((((np.sin(np.tanh(x2)) - (((np.sin(np.sqrt(np.abs(x4))) + np.log(1 + np.abs((7 * x1)))) + ((np.sin(x0) + (5/x0)) - (0 * np.tanh(x4)))) + 8)) + (((np.sin(np.sqrt(np.abs(x0))) * np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(2)))))) * np.sin((np.exp(x0) + np.exp(np.tanh(x4))))) * np.log(1 + np.abs((np.tanh(np.sin((x2/5))) - np.log(1 + np.abs(x0))))))) * np.log(1 + np.abs(np.sin(np.sqrt(np.abs(np.tanh((np.sin(np.tanh(7)) - np.log(1 + np.abs(np.exp(x1)))))))))))))))),0.041550317118272284,28,1,0.5911140441894531,0
